package,status,kali_categories,domain,summary
vim-tiny,installable-missing,none-detected,general-ops,Vi IMproved - enhanced vi editor - compact version
xxd,installed,none-detected,reverse-fuzzing,tool to make (or reverse) a hex dump
vinetto,installed,none-detected,forensics-ir,forensics tool to examine Thumbs.db files
vlan,installed,none-detected,general-ops,ifupdown legacy integration for vlan configuration
voiphopper,installed,kali-voip,general-ops,Runs a VLAN hop security test
vopono,installed,none-detected,general-ops,Run applications through VPN tunnels with temporary network namespaces
vpnc,installed,none-detected,general-ops,Cisco-compatible VPN client
vwifi-dkms,installable-missing,none-detected,wireless-rf,Simple Virtual Wireless Driver for Linux in DKMS format
vwifi-tool,installed,none-detected,wireless-rf,userspace tool which supports user-specific utilization for vwifi-dkms
wafw00f,installed,kali-network-security-appliances,web-app,identify and fingerprint Web Application Firewall products
wapiti,installed,kali-identify;kali-web-vulnerability-scanning,web-app,web application vulnerability scanner
watobo,installed,none-detected,web-app,Semi-automated web application scanner
waybackpy,installed,none-detected,general-ops,Access Wayback Machine's API using Python
wce,installed,none-detected,credential-access,Windows Credentials Editor
web-cache-vulnerability-scanner,installed,none-detected,web-app,Go-based CLI tool for testing for web cache poisoning
webacoo,installed,none-detected,web-app,Web backdoor cookie script kit
webscarab,installed,none-detected,web-app,Web application review tool
webshells,installed,kali-persistence,web-app,Collection of webshells
websploit,installed,none-detected,web-app,Web exploitation framework
weevely,installed,kali-persistence,web-app,Stealth tiny web shell
wfuzz,installed,kali-web-scanning,web-app,Web application bruteforcer
wget,installed,none-detected,web-app,retrieves files from the web
wget-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
wgetpaste,installed,none-detected,wireless-rf,Command-line interface to various online pastebin services
what-is-python,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python-dev-is-python3,installable-missing,none-detected,development-support,symlinks /usr/bin/python-config to python3-config
python-is-python3,installed,none-detected,general-ops,symlinks /usr/bin/python to python3
whatmask,installed,none-detected,general-ops,helper for network settings
whatweb,installed,kali-web-vulnerability-scanning,web-app,Next generation web scanner
whois,installed,none-detected,general-ops,intelligent WHOIS client
wifi-honey,installed,none-detected,wireless-rf,Wi-Fi honeypot
wifiphisher,installed,none-detected,wireless-rf,Automated phishing attacks against Wi-Fi networks
wifipumpkin3,installed,none-detected,wireless-rf,Powerful framework for rogue access point attack
wifite,installed,kali-wifi-credential-access,wireless-rf,Python script to automate wireless auditing using aircrack-ng tools
wig,installed,none-detected,web-app,WebApp Information Gatherer
wig-ng,installed,none-detected,general-ops,utility for Wi-Fi device fingerprinting
windows-binaries,installed,none-detected,general-ops,Various pentesting Windows binaries
windows-privesc-check,installed,none-detected,general-ops,Windows privilege escalation checking tool
winregfs,installed,none-detected,general-ops,Windows registry FUSE filesystem
wireshark,installed,none-detected,wireless-rf,network traffic analyzer - graphical interface
libwireshark-data,installed,none-detected,development-support,network packet dissection library -- data files
libwireshark-dev,installable-missing,none-detected,development-support,network packet dissection library -- development files
libwireshark19,installed,none-detected,development-support,network packet dissection library -- shared library
libwiretap-dev,installable-missing,none-detected,development-support,network packet capture library -- development files
libwiretap16,installed,none-detected,development-support,network packet capture library -- shared library
libwsutil-dev,installable-missing,none-detected,development-support,network packet dissection utilities library -- development files
libwsutil17,installed,none-detected,development-support,network packet dissection utilities library -- shared library
stratoshark,installable-missing,none-detected,wireless-rf,system call and log analyzer - graphical and console interfaces
tshark,installed,none-detected,general-ops,network traffic analyzer - console version
wireshark-common,installed,none-detected,general-ops,network traffic analyzer - common files
wireshark-dev,installable-missing,none-detected,development-support,network traffic analyzer - development tools
wireshark-doc,installable-missing,none-detected,development-support,network traffic analyzer - documentation
witnessme,installed,none-detected,web-app,Web Inventory tool
wmi,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
wmi-client,installed,none-detected,general-ops,DCOM/WMI client implementation
wordlistraider,installed,none-detected,general-ops,Tool to prepare existing wordlists
wordlists,installed,kali-credential-access;kali-password-profiling-wordlists,credential-access,Contains the rockyou wordlist
wotmate,installed,none-detected,general-ops,reimplement the defunct PGP pathfinder with only your own keyring
wpa-sycophant,installed,none-detected,wireless-rf,tool to relay phase 2 authentication attempts to access corporate wireless
wpprobe,installed,none-detected,general-ops,Fast WordPress plugin enumeration tool
wpscan,installed,kali-web-vulnerability-scanning,web-app,Black box WordPress vulnerability scanner
wsgidav,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python-wsgidav-doc,installable-missing,none-detected,web-app,generic and extendable WebDAV server (common documentation)
python3-wsgidav,installed,none-detected,web-app,generic and extendable WebDAV server (Python 3)
xclip,installed,none-detected,wireless-rf,command line interface to X selections
xmount,installed,none-detected,general-ops,tool for crossmounting between disk image formats
xplico,installed,none-detected,forensics-ir,Network Forensic Analysis Tool (NFAT)
xspy,installed,none-detected,general-ops,X server sniffer
xsrfprobe,installed,none-detected,wireless-rf,Prime Cross Site Request Forgery Audit and Exploitation Toolkit
xsser,installed,none-detected,web-app,XSS testing framework
xsstrike,installed,none-detected,web-app,Most advanced XSS scanner
yara,installed,none-detected,crypto-stego,Pattern matching swiss knife for malware researchers
libyara-dev,installable-missing,none-detected,crypto-stego,YARA development libraries and headers
libyara10,installed,none-detected,crypto-stego,YARA shared library
yara-doc,installable-missing,none-detected,crypto-stego,HTML documentation for YARA
yersinia,installed,none-detected,general-ops,Network vulnerabilities check software
zaproxy,installed,none-detected,web-app,Testing tool for finding vulnerabilities in web applications
zerofree,installed,none-detected,general-ops,"zero free blocks from ext2, ext3 and ext4 file-systems"
zim,installed,none-detected,general-ops,graphical text editor based on wiki technologies
zonedb,installed,none-detected,general-ops,Public Zone Database (program)
golang-github-zonedb-zonedb-dev,installable-missing,none-detected,development-support,Public Zone Database (source library)
zsh,installed,none-detected,general-ops,shell with lots of features
zsh-common,installed,none-detected,general-ops,architecture independent files for Zsh
zsh-dev,installable-missing,none-detected,development-support,shell with lots of features (development files)
zsh-doc,installable-missing,none-detected,development-support,zsh documentation - info/HTML format
zsh-static,installable-missing,none-detected,general-ops,shell with lots of features (static link)
zsh-autosuggestions,installed,none-detected,general-ops,Fish-like fast/unobtrusive autosuggestions for zsh
zsh-syntax-highlighting,installed,none-detected,general-ops,Fish shell like syntax highlighting for zsh
